Results of 3 bytes, method: ownmethod
35a70a084c7e6422bbe459b2140473b790a80dcf058849d4058762dbae9c179e , 2087
10fbed8472440f8abfea4e7186de9d23118f4ec7cbca1b578a56c92798dfeabf , 1150
29530112013ae0080e2f619782459b1720820c393bdd1bbaec4c6d73f2996f94 , 408
d8ded0d0ec2acfa1acef8c94b88cf5d2bc11b033f13f0264f45f000e6538f299 , 1610
744c103551b233e531f0abae1eb818f0b7198a9609b0b32bd530558ac444e3bd , 912
a3f289ac015d7ecc882ba8c3eea265e2c40a354acb835c9eece033cffd07e508 , 214
77c36e3ce18f713f9ba9d7e84ec13703c71cc34d2b50268bf39a7b3ef32c61b5 , 237
96ad841415d4d3ee4bdf2d4ff3c8e2bc59d8d547bac6a6ac04df5f30061aef94 , 2517
1d51998ce78861a79c84cbf19fbd1990bda7ead3c6d9a2ddf59a2ed58f7969f5 , 362
3ce0ad3d42c9e0a80bb7383b882711b0dfc541b70ec00d253452005ff4243180 , 28
df8a0e09bb716715e9159c42608ea60fffdf750220842bdc292cb26cd58a3353 , 1201
a1552f46ebb77461706d9cbfbc6ac238f904fbcebb9b1484d109a19a33083dc5 , 524
c05f1096503c9d72c4d90af35136b3fc3f3ed4d57af6f3e9e98ea908b9a420a5 , 3963
c4defb801639d615c63531b13bda5d5b0c00d01763900fec2ed15e07a856a1f7 , 851
a970f79341cbda176318c5cd2523bda706fb843d2d0e9abc1ed80a7f6674961b , 890
d4816cc3471b795fb14ef092873d6e6c554e0635105b289528fa720b4a4c07dc , 595
b87699198501043e108b796cc702f01830d2ff90f2cd659c231b12673a40d7da , 120
7445c38dc23bdf3f58d65033a95b3fea4617e19c060b0a18b1d148ceca1166f9 , 1007
7542e50b3c67e1185c5d7b2a7f81a7f68a9851075d3722ca50f903aa47798d89 , 647
7273cf4c9fbd363effe77e5872e31c88f541a73a3362ec6bb98ad62d48ca2a2c , 926
184147921c3027a88ba2834bf11c64e8290104828bd6cdcfbcf0285c42a46495 , 165
da9bf69e4373b564281117d3e333cd4871db20b60901d7f280313f8d165573aa , 1213
b67b736b45d17ce4d5c38607aa08a76f62e1be61a03f4cf975edc4ee248d348d , 231
6663b66c300c5c7954360f55bca0e9d958fa60e22be2ec38935b9bff3f3d46d9 , 3422
3fcfcfa735ef06ca7821d1f8bad90ced66953266984e7dea580ecd11f3b11997 , 2065
20219260425bf3ad8463723b1b06aad408e1f2f8b0beebbd4d52d51127a02866 , 207
f306af692db2df955bf865f029ee20ca4e1dc248295b104b6728b2039422c49a , 2004
39a0a399cea9b13341c6c7aa15e3d6fd2a4749a1d54977ae32f14ff3a5c43657 , 393
ed6b6e6edb594bb7559faba6838239ee66f027fe14fdb9c004397ed232a24545 , 1247
05bdf84bb05c4115df8147857fb34603e6ff1cebaa0f2eb7cdf1621caa85de03 , 415
